Adventurer | 1 : 2 : 3 | Max HP increased by 1000. | Opening a chest regenerates 30% Max HP over 5s. | HP / 1000
Lucky Dog |  1 : 2 : 3 | DEF increased by 100. | Picking up Mora restores 300 HP. | DEF / 1000
Travelling Doctor |  1 : 2 : 3 | Increases incoming healing by 20%. | Using Elemental Burst restores 20% HP. | IHB / 20
Resolution of Sojourner | 3 : 4 | ATK +18% | Increases Charged Attack CRIT Rate by 30%. | ATK% / 18
Tiny Miracle | 3 : 4 | All Elemental RES increased by 20%. | Incoming Elemental DMG increases corresponding Elemental RES by 30% for 10s. Can only occur every 10s. | ANEMORES / 20 : GEORES / 20 : ELECTRORES / 20 : DENDRORES / 20 : HYDRORES / 20 : PYRORES / 20 : CRYORES / 20
Berserker | 3 : 4 | CRIT Rate +12% | When HP is below 70%, CRIT Rate, increases by an additional 24%. | CR / 12
Instructor | 3 : 4 | Increases Elemental Mastery by 80. | Upon triggering an Elemental Reaction, increases all party members' Elemental Mastery by 120 for 8s. | EM / 80
The Exile | 3 : 4 | Energy Recharge +20% | Using an Elemental Burst regenerates 2 Energy for all party members (excluding the wearer) every 2s for 6s. This effect cannot stack. | ER / 20
Defender's Will | 3 : 4 | DEF +30% | For each different element present in your own party, the wearer's Elemental RES to that corresponding element is increased by 30%. | DEF% / 30
Brave Heart | 3 : 4 | ATK +18%. | Increases DMG by 30% against opponents with more than 50% HP. | ATK% / 18
Martial Artist | 3 : 4 | Increases Normal Attack and Charged Attack DMG by 15%. | After using Elemental Skill, increases Normal Attack and Charged Attack DMG by 25% for 8s. | HP / 1
Gambler | 3 : 4 | Increases Elemental Skill DMG by 20%. | Defeating an opponent has 100% chance to remove Elemental Skill CD. Can only occur once every 15s. | HP / 1
Scholar | 3 : 4 | Energy Recharge +20% | Gaining Elemental Particles or Orbs gives 3 Energy to all party members who have a bow or a catalyst equipped. Can only occur once every 3s. | ER / 20
Gladiator's Finale | 4 : 5 | ATK +18%. | If the wielder of this artifact set uses a Sword, Claymore or Polearm, increases their Normal Attack DMG by 35%. | ATK% / 18
Wanderer's Troupe | 4 : 5 | Increases Elemental Mastery by 80. | Increases Charged Attack DMG by 35% if the character uses a Catalyst or Bow. | EM / 80
Noblesse Oblige | 4 : 5 | Elemental Burst DMG +20% | Using an Elemental Burst increases all party members' ATK by 20% for 12s. This effect cannot stack. | HP / 1
Bloodstained Chivalry | 4 : 5 | Physical DMG Bonus +25% | After defeating an opponent, increases Charged Attack DMG by 50%, and reduces its Stamina cost to 0 for 10s. Also triggers with wild animals such as boars, squirrels and frogs. | PHYS / 25
Maiden Beloved | 4 : 5 | Character Healing Effectiveness +15% | Using an Elemental Skill or Burst increases healing received by all party members by 20% for 10s. | HB / 15
Viridescent Venerer | 4 : 5 | Anemo DMG Bonus +15% | Increases Swirl DMG by 60%. Decreases opponent's Elemental RES to the element infused in the Swirl by 40% for 10s. | ANEMO / 15
Archaic Petra | 4 : 5 | Geo DMG Bonus +15% | Upon obtaining an Elemental Shard created through a Crystallize Reaction, all party members gain 35% DMG Bonus for that particular element for 10s. Only one form of Elemental DMG Bonus can be gained in this manner at any one time. | GEO / 15
Retracing Bolide | 4 : 5 | Increases Shield Strength by 35%. | While protected by a shield, gain an additional 40% Normal and Charged Attack DMG. | SS / 35
Thundersoother | 4 : 5 | Electro RES increased by 40%. | Increases DMG against opponents affected by Electro by 35%. | ELECTRORES / 40
Thundering Fury | 4 : 5 | Electro DMG Bonus +15% | Increases damage caused by Overloaded, Electro-Charged and Superconduct by 40%. Triggering such effects decreases Elemental Skill CD by 1s. Can only occur once every 0.8s. | ELECTRO / 15
Lavawalker | 4 : 5 | Pyro RES increased by 40%. | Increases DMG against opponents affected by Pyro by 35%. | PYRORES / 40
Crimson Witch of Flames | 4 : 5 | Pyro DMG Bonus +15% | Increases Overloaded and Burning DMG by 40%. Increases Vaporize and Melt DMG by 15%. Using an Elemental Skill increases the 2-Piece Set Bonus by 50% of its starting value for 10s. Max 3 stacks. | PYRO / 15
Blizzard Strayer | 4 : 5 | Cryo DMG Bonus +15% | When a character attacks an opponent affected by Cryo, their CRIT Rate is increased by 20%. If the opponent is Frozen, CRIT Rate is increased by an additional 20%. | CRYO / 15
Heart of Depth | 4 : 5 | Hydro DMG Bonus +15% | After using an Elemental Skill, increases Normal Attack and Charged Attack DMG by 30% for 15s. | HYDRO / 15
Tenacity of the Millelith | 4 : 5 | HP +20% | When an Elemental Skill hits an opponent, the ATK of all nearby party members is increased by 20% and their Shield Strength is increased by 30% for 3s. This effect can be triggered once every 0.5s. This effect can still be triggered even when the character who is using this artifact set is not on the field. | HP% / 20
Pale Flame | 4 : 5 | Physical DMG Bonus +25% | When an Elemental Skill hits an opponent, ATK is increased by 9% for 7s. This effect stacks up to 2 times and can be triggered once every 0.3s. Once 2 stacks are reached, the 2-set effect is increased by 100%. | PHYS / 25
Shimenawa's Reminiscence | 4 : 5 | ATK +18% | When casting an Elemental Skill, if the character has 15 or more Energy, they lose 15 Energy and Normal/Charged/Plunging Attack DMG is increased by 50% for 10s. This effect will not trigger again during that duration. | ATK% / 18
Emblem of Severed Fate | 4 : 5 | Energy Recharge +20% | Increases Elemental Burst DMG by 25% of Energy Recharge. A maximum of 75% bonus DMG can be obtained in this way. | ER / 20
Husk of Opulent Dreams | 4 : 5 | DEF +30% | A character equipped with this Artifact set will obtain the Curiosity effect in the following conditions: When on the field, the character gains 1 stack after hitting an opponent with a Geo attack, triggering a maximum of once every 0.3s. When off the field, the character gains 1 stack every 3s. Curiosity can stack up to 4 times, each providing 6% DEF and a 6% Geo DMG Bonus. When 6 seconds pass without gaining a Curiosity stack, 1 stack is lost. | DEF% / 30
Ocean-Hued Clam | 4 : 5 | Healing Bonus +15%. | When the character equipping this artifact set heals a character in the party, a Sea-Dyed Foam will appear for 3 seconds, accumulating the amount of HP recovered from healing (including overflow healing). At the end of the duration, the Sea-Dyed Foam will explode, dealing DMG to nearby opponents based on 90% of the accumulated healing. (This DMG is calculated similarly to Reactions such as Electro-Charged, and Superconduct, but it is not affected by Elemental Mastery, Character Levels, or Reaction DMG Bonuses). Only one Sea-Dyed Foam can be produced every 3.5 seconds. Each Sea-Dyed Foam can accumulate up to 30,000 HP (including overflow healing). There can be no more than one Sea-Dyed Foam active at any given time. This effect can still be triggered even when the character who is using this artifact set is not on the field. | HB / 15
Vermillion Hereafter | 4 : 5 | ATK +18%. | After using an Elemental Burst. this character will gain the Nascent Light effect, increasing their ATK by 8% for 16s. When the character's HP decreases, their ATK will further increase by 10%. This increase can occur this way maximum of 4 times. This effect can be triggered once every 0.8s. Nascent Light will be dispelled when the character leaves the field. If an Elemental Burst is used again during the duration of Nascent Light, the original Nascent Light will be dispelled. | ATK% / 18
Echoes of an Offering | 4 : 5 | ATK +18%. | When Normal Attacks hit opponents, there is a 36% chance that it will trigger Valley Rite, which will increase Normal Attack DMG by 70% of ATK. This effect will be dispelled 0.05s after a Normal Attack deals DMG. If a Normal Attack fails to trigger Valley Rite, the odds of it triggering the next time will increase by 20%. This trigger can occur once every 0.2s. | ATK% / 18
